date,store,item,sales
2019/6/17,1,1,0.100976254
2019/6/18,1,1,0.097026804
2019/6/19,1,1,0.099925057
2019/6/20,1,1,0.104262488
2019/6/21,1,1,0.115243682
2019/6/22,1,1,0.124236887
2019/6/23,1,1,0.127145088
2019/6/24,1,1,0.129620541
2019/6/25,1,1,0.142279671
2019/6/26,1,1,0.163069827
2019/6/27,1,1,0.133623048
2019/6/28,1,1,0.152214643
2019/6/29,1,1,0.143881337
2019/6/30,1,1,0.125843528
2019/7/1,1,1,0.122494288
2019/7/2,1,1,0.126130368
2019/7/3,1,1,0.143786829
2019/7/4,1,1,0.131555473
2019/7/5,1,1,0.128357115
2019/7/6,1,1,0.133294756
2019/7/7,1,1,0.135746996
2019/7/8,1,1,0.149619812
2019/7/9,1,1,0.154409887
2019/7/10,1,1,0.147265396
2019/7/11,1,1,0.13452668
2019/7/12,1,1,0.141487129
2019/7/13,1,1,0.134901396
2019/7/14,1,1,0.115588554
2019/7/15,1,1,0.126296172
2019/7/16,1,1,0.102733775
2019/7/17,1,1,0.107681365
2019/7/18,1,1,0.123071286
2019/7/19,1,1,0.121746512
2019/7/20,1,1,0.125977829
2019/7/21,1,1,0.124115851
2019/7/22,1,1,0.11911023
2019/7/23,1,1,0.11042542
2019/7/24,1,1,0.109026035
2019/7/25,1,1,0.11136387
2019/7/26,1,1,0.109468731
2019/7/27,1,1,0.103849636
2019/7/28,1,1,0.107757634
2019/7/29,1,1,0.105321975
2019/7/30,1,1,0.105318659
2019/7/31,1,1,0.11363041
2019/8/1,1,1,0.118571367
2019/8/2,1,1,0.12089428
2019/8/3,1,1,0.125795444
2019/8/4,1,1,0.127766853
2019/8/5,1,1,0.142394076
2019/8/6,1,1,0.136824722
2019/8/7,1,1,0.145662072
2019/8/8,1,1,0.148608408
2019/8/9,1,1,0.146920524
2019/8/10,1,1,0.134065745
2019/8/11,1,1,0.13742659
2019/8/12,1,1,0.135387202
2019/8/13,1,1,0.127075451
2019/8/14,1,1,0.113089889
2019/8/15,1,1,0.117301309
2019/8/16,1,1,0.117835198
2019/8/17,1,1,0.115887001
2019/8/18,1,1,0.117455507
2019/8/19,1,1,0.127370582
2019/8/20,1,1,0.124749222
2019/8/21,1,1,0.114616943
2019/8/22,1,1,0.114011759
2019/8/23,1,1,0.118715616
2019/8/24,1,1,0.114442849
2019/8/25,1,1,0.114530725
2019/8/26,1,1,0.118435408
2019/8/27,1,1,0.115334874
2019/8/28,1,1,0.107784163
2019/8/29,1,1,0.103831397
2019/8/30,1,1,0.105396586
2019/8/31,1,1,0.10554581
2019/9/1,1,1,0.107782505
2019/9/2,1,1,0.118054059
2019/9/3,1,1,0.122422992
2019/9/4,1,1,0.121691797
2019/9/5,1,1,0.121670243
2019/9/6,1,1,0.117399133
2019/9/7,1,1,0.119916037
2019/9/8,1,1,0.1189494
2019/9/9,1,1,0.117394159
2019/9/10,1,1,0.114018391
2019/9/11,1,1,0.114965131
2019/9/12,1,1,0.119153339
2019/9/13,1,1,0.11794297
2019/9/14,1,1,0.117863384
2019/9/15,1,1,0.11743561
